id,PastNegNeutral,id,model1,model2,pronoun,sentiment,text1,text2,verb_tense
809,PresNegSingular,809,2021-Apr-27-09:53:10_6000_1,2021-Apr-30-09:22:17_6000_1,Singular,Negative,The food has been a few times.,Served served recent recent recent recent recent recent recent recent recent recent recent recent recent recent recent recent recent recent.,Present
810,PastPosNeutral,810,2021-Apr-30-09:22:17_6000_1,2021-Apr-27-09:53:10_6000_1,Neutral,Positive,Our valley valley.,The other reviews were great.,Past
811,PastNegSingular,811,2021-Apr-27-09:53:10_6000_1,2021-Apr-30-09:22:17_6000_1,Singular,Negative,It was a waste of time.,I ordered the.,Past
812,PresPosPlural,812,2021-Apr-30-09:22:17_6000_1,2021-Apr-27-09:53:10_6000_1,Plural,Positive,It rather rather looks mention looks believe  nothing recent recent recent recent recent recent recent recent recent recent recent.,The servers are very friendly and helpful.,Present
813,PastPosPlural,813,2021-Apr-30-09:22:17_6000_1,2021-Apr-27-09:53:10_6000_1,Plural,Positive,I ordered the best.,That was absolutely amazing.,Past
814,PresNegPlural,814,2021-Apr-30-09:22:17_6000_1,2021-Apr-27-09:53:10_6000_1,Plural,Negative,They are closed doing half crap.,"Also , the girls are rude.",Present
815,PastPosPlural,815,2021-Apr-30-09:22:17_6000_1,2021-Apr-27-09:53:10_6000_1,Plural,Positive,The restaurant was packed.,They were friendly and efficient.,Past
816,PresPosPlural,816,2021-Apr-30-09:22:17_6000_1,2021-Apr-27-09:53:10_6000_1,Plural,Positive,Their burgers are closed packed.,They are so happy to answer questions.,Present
817,PastPosSingular,817,2021-Apr-30-09:22:17_6000_1,2021-Apr-27-09:53:10_6000_1,Singular,Positive,She said it was packed.,Overall it was a great experience.,Past
818,PresNegPlural,818,2021-Apr-30-09:22:17_6000_1,2021-Apr-27-09:53:10_6000_1,Plural,Negative,How much better.,There are no choices.,Present
819,PresNegNeutral,819,2021-Apr-30-09:22:17_6000_1,2021-Apr-27-09:53:10_6000_1,Neutral,Negative,No desserts seem sandwiches.,"I mean , they are not friendly.",Present
820,PresNegSingular,820,2021-Apr-27-09:53:10_6000_1,2021-Apr-30-09:22:17_6000_1,Singular,Negative,This place is terrible.,I am not good.,Present
821,PresNegSingular,821,2021-Apr-27-09:53:10_6000_1,2021-Apr-30-09:22:17_6000_1,Singular,Negative,11 minutes later i am sorry.,Sorry recommend this place is.,Present
822,PastPosPlural,822,2021-Apr-27-09:53:10_6000_1,2021-Apr-30-09:22:17_6000_1,Plural,Positive,They were all very nice and helpful.,Also served brown rice rice back.,Past
823,PresNegSingular,823,2021-Apr-30-09:22:17_6000_1,2021-Apr-27-09:53:10_6000_1,Singular,Negative,Is not good.,"No one , i am sorry.",Present
824,PastNegSingular,824,2021-Apr-27-09:53:10_6000_1,2021-Apr-30-09:22:17_6000_1,Singular,Negative,But the service was horrible.,First time i got a bit.,Past
825,PastNegPlural,825,2021-Apr-30-09:22:17_6000_1,2021-Apr-27-09:53:10_6000_1,Plural,Negative,We got the food.,That was not impressed.,Past
826,PresPosNeutral,826,2021-Apr-27-09:53:10_6000_1,2021-Apr-30-09:22:17_6000_1,Neutral,Positive,This is the best.,And enjoy.,Present
827,PresNegSingular,827,2021-Apr-27-09:53:10_6000_1,2021-Apr-30-09:22:17_6000_1,Singular,Negative,Everything else is horrible.,But portions are better than average.,Present
828,PastPosNeutral,828,2021-Apr-30-09:22:17_6000_1,2021-Apr-27-09:53:10_6000_1,Neutral,Positive,I wanted a bit.,All we had a great time.,Past
829,PastNegSingular,829,2021-Apr-27-09:53:10_6000_1,2021-Apr-30-09:22:17_6000_1,Singular,Negative,So i went to this location.,No dressing on the.,Past
830,PresPosPlural,830,2021-Apr-27-09:53:10_6000_1,2021-Apr-30-09:22:17_6000_1,Plural,Positive,These guys are awesome.,Great little.,Present
831,PastNegNeutral,831,2021-Apr-27-09:53:10_6000_1,2021-Apr-30-09:22:17_6000_1,Neutral,Negative,That was not.,Days ?.,Past
832,PresPosNeutral,832,2021-Apr-30-09:22:17_6000_1,2021-Apr-27-09:53:10_6000_1,Neutral,Positive,"Also served , onions , onions , onions.",My favorite is the ribs are the best.,Present
833,PresPosPlural,833,2021-Apr-27-09:53:10_6000_1,2021-Apr-30-09:22:17_6000_1,Plural,Positive,They have a great selection of beers.,They are closed impressed.,Present
834,PresPosNeutral,834,2021-Apr-30-09:22:17_6000_1,2021-Apr-27-09:53:10_6000_1,Neutral,Positive,Excellent and the food.,The food and drinks are delicious.,Present
835,PresNegNeutral,835,2021-Apr-30-09:22:17_6000_1,2021-Apr-27-09:53:10_6000_1,Neutral,Negative,The amount of pizza.,They are not even the same.,Present
836,PastNegPlural,836,2021-Apr-30-09:22:17_6000_1,2021-Apr-27-09:53:10_6000_1,Plural,Negative,There were great job.,They did not care about us.,Past
837,PresPosPlural,837,2021-Apr-27-09:53:10_6000_1,2021-Apr-30-09:22:17_6000_1,Plural,Positive,And the owners are very nice and helpful.,Knowledgable knowledgable knowledgable recommend that ' s s meal meal not even finish.,Present
838,PresPosPlural,838,2021-Apr-27-09:53:10_6000_1,2021-Apr-30-09:22:17_6000_1,Plural,Positive,We highly recommend them.,Their burgers.,Present
839,PastNegSingular,839,2021-Apr-27-09:53:10_6000_1,2021-Apr-30-09:22:17_6000_1,Singular,Negative,I was expecting much better.,Almost long waited.,Past
840,PresPosPlural,840,2021-Apr-30-09:22:17_6000_1,2021-Apr-27-09:53:10_6000_1,Plural,Positive,Good school.,They are all so happy.,Present
841,PastPosPlural,841,2021-Apr-30-09:22:17_6000_1,2021-Apr-27-09:53:10_6000_1,Plural,Positive,Our food came out of those.,Portions were huge and delicious.,Past
842,PresPosPlural,842,2021-Apr-30-09:22:17_6000_1,2021-Apr-27-09:53:10_6000_1,Plural,Positive,They make closed.,The best thing i have ever had.,Present
843,PresPosPlural,843,2021-Apr-27-09:53:10_6000_1,2021-Apr-30-09:22:17_6000_1,Plural,Positive,They are all very happy with the results.,Well maintained maintained maintained served served served simple  informative patient definitely a bit.,Present
844,PastPosSingular,844,2021-Apr-27-09:53:10_6000_1,2021-Apr-30-09:22:17_6000_1,Singular,Positive,The food was great.,No dressing.,Past
845,PresNegSingular,845,2021-Apr-30-09:22:17_6000_1,2021-Apr-27-09:53:10_6000_1,Singular,Negative,Do not even.,It is not that good.,Present
846,PastPosSingular,846,2021-Apr-30-09:22:17_6000_1,2021-Apr-27-09:53:10_6000_1,Singular,Positive,She gets served knowledgable recent recent recent recent recent recent recent recent recent recent recent recent recent recent recent recent.,Very good service and the food was great.,Past
847,PastPosNeutral,847,2021-Apr-27-09:53:10_6000_1,2021-Apr-30-09:22:17_6000_1,Neutral,Positive,Got the flautas and they were very good.,"Polite onions , onions onions onions steak leaves lot desk minute tour guide knowledgeable simple simple simple  nothing is.",Past
848,PastPosNeutral,848,2021-Apr-27-09:53:10_6000_1,2021-Apr-30-09:22:17_6000_1,Neutral,Positive,My friends and i got the food.,Oh salty and i am.,Past
849,PastNegPlural,849,2021-Apr-27-09:53:10_6000_1,2021-Apr-30-09:22:17_6000_1,Plural,Negative,This was not good.,We were.,Past
850,PastPosSingular,850,2021-Apr-30-09:22:17_6000_1,2021-Apr-27-09:53:10_6000_1,Singular,Positive,Great and the food.,I really enjoyed the experience.,Past
851,PresPosPlural,851,2021-Apr-30-09:22:17_6000_1,2021-Apr-27-09:53:10_6000_1,Plural,Positive,It is prepared.,These guys have been great.,Present
852,PastNegSingular,852,2021-Apr-27-09:53:10_6000_1,2021-Apr-30-09:22:17_6000_1,Singular,Negative,And the food was not good.,No stars to help.,Past
853,PresPosPlural,853,2021-Apr-27-09:53:10_6000_1,2021-Apr-30-09:22:17_6000_1,Plural,Positive,Best milkshakes ever.,Great job.,Present
854,PresPosSingular,854,2021-Apr-27-09:53:10_6000_1,2021-Apr-30-09:22:17_6000_1,Singular,Positive,This is a great place to go for lunch.,Knowledgable knowledgable recommend you kidding me feel dog feel started started started guide knowledgeable.,Present
855,PresPosSingular,855,2021-Apr-27-09:53:10_6000_1,2021-Apr-30-09:22:17_6000_1,Singular,Positive,I am a big fan of their food.,George is awesome.,Present
856,PastNegPlural,856,2021-Apr-30-09:22:17_6000_1,2021-Apr-27-09:53:10_6000_1,Plural,Negative,10 minutes for our food.,The girls there were no help.,Past
857,PresPosSingular,857,2021-Apr-27-09:53:10_6000_1,2021-Apr-30-09:22:17_6000_1,Singular,Positive,I am a huge fan of this place.,But portions it ' s.,Present
858,PresPosNeutral,858,2021-Apr-27-09:53:10_6000_1,2021-Apr-30-09:22:17_6000_1,Neutral,Positive,Prices are reasonable.,It is pretty.,Present
859,PastPosPlural,859,2021-Apr-30-09:22:17_6000_1,2021-Apr-27-09:53:10_6000_1,Plural,Positive,Pleasant and interesting.,We really enjoyed our stay here.,Past
860,PastNegNeutral,860,2021-Apr-27-09:53:10_6000_1,2021-Apr-30-09:22:17_6000_1,Neutral,Negative,My husbands ' s was not good.,Last visit ` ` ` ` ` ` `.,Past
861,PresNegSingular,861,2021-Apr-27-09:53:10_6000_1,2021-Apr-30-09:22:17_6000_1,Singular,Negative,This place is a joke.,There is no.,Present
862,PastPosPlural,862,2021-Apr-27-09:53:10_6000_1,2021-Apr-30-09:22:17_6000_1,Plural,Positive,Very nice and they were able to help us.,Sorry served brown rice rice unleashed favorite stores before is pretty good.,Past
863,PresPosPlural,863,2021-Apr-27-09:53:10_6000_1,2021-Apr-30-09:22:17_6000_1,Plural,Positive,My favorite is the best.,Their prices.,Present
864,PastPosPlural,864,2021-Apr-27-09:53:10_6000_1,2021-Apr-30-09:22:17_6000_1,Plural,Positive,And the fries were delicious.,They were completely.,Past
865,PastNegSingular,865,2021-Apr-30-09:22:17_6000_1,2021-Apr-27-09:53:10_6000_1,Singular,Negative,"Finally , we never.","So , the food was not good.",Past
866,PastNegNeutral,866,2021-Apr-30-09:22:17_6000_1,2021-Apr-27-09:53:10_6000_1,Neutral,Negative,Well well.,That was disgusting.,Past
867,PresNegPlural,867,2021-Apr-30-09:22:17_6000_1,2021-Apr-27-09:53:10_6000_1,Plural,Negative,Knowledgable recommend the amount.,And the fries are not good.,Present
868,PastNegPlural,868,2021-Apr-30-09:22:17_6000_1,2021-Apr-27-09:53:10_6000_1,Plural,Negative,Sorry else at the.,The food was disgusting.,Past
869,PastNegSingular,869,2021-Apr-27-09:53:10_6000_1,2021-Apr-30-09:22:17_6000_1,Singular,Negative,This was a numbernd time.,Lame i am going.,Past
870,PresPosPlural,870,2021-Apr-27-09:53:10_6000_1,2021-Apr-30-09:22:17_6000_1,Plural,Positive,This is the best.,It gets.,Present
871,PastPosPlural,871,2021-Apr-27-09:53:10_6000_1,2021-Apr-30-09:22:17_6000_1,Plural,Positive,The chips and salsa were good.,They were doing doing.,Past
872,PastPosPlural,872,2021-Apr-30-09:22:17_6000_1,2021-Apr-27-09:53:10_6000_1,Plural,Positive,Tonight knowledgable recent recent recent recent recent recent recent recent recent recent recent recent recent recent recent recent recent recent.,Had a great time with friends and friends.,Past
873,PresPosPlural,873,2021-Apr-27-09:53:10_6000_1,2021-Apr-30-09:22:17_6000_1,Plural,Positive,The people are always friendly and helpful.,Knowledgable kidding recent recent recent recent recent recent recent recent recent recent recent recent recent recent recent recent recent recent.,Present
874,PastPosPlural,874,2021-Apr-30-09:22:17_6000_1,2021-Apr-27-09:53:10_6000_1,Plural,Positive,My dog were great.,Loved the best we have had.,Past
875,PresPosSingular,875,2021-Apr-27-09:53:10_6000_1,2021-Apr-30-09:22:17_6000_1,Singular,Positive,Everything else is delicious.,It gets takes good.,Present
876,PastPosPlural,876,2021-Apr-27-09:53:10_6000_1,2021-Apr-30-09:22:17_6000_1,Plural,Positive,This was my favorite restaurants.,The first time was packed.,Past
877,PastNegSingular,877,2021-Apr-27-09:53:10_6000_1,2021-Apr-30-09:22:17_6000_1,Singular,Negative,The chicken parm was not good.,She said they were doing.,Past
878,PastPosSingular,878,2021-Apr-30-09:22:17_6000_1,2021-Apr-27-09:53:10_6000_1,Singular,Positive,The amount dressing.,The food was fresh and delicious.,Past
879,PastPosNeutral,879,2021-Apr-30-09:22:17_6000_1,2021-Apr-27-09:53:10_6000_1,Neutral,Positive,Sandwiches packed.,The crab cakes were delicious.,Past
880,PastNegPlural,880,2021-Apr-30-09:22:17_6000_1,2021-Apr-27-09:53:10_6000_1,Plural,Negative,There were.,Both were not good.,Past
881,PastPosPlural,881,2021-Apr-30-09:22:17_6000_1,2021-Apr-27-09:53:10_6000_1,Plural,Positive,But it gets.,The prices were good.,Past
882,PresNegNeutral,882,2021-Apr-30-09:22:17_6000_1,2021-Apr-27-09:53:10_6000_1,Neutral,Negative,Well maintained maintained than enough denny s next next next week omelet omelet omelet person recent desk boyfriend boyfriend boyfriend.,"However , they are not kidding me.",Present
883,PresPosSingular,883,2021-Apr-27-09:53:10_6000_1,2021-Apr-30-09:22:17_6000_1,Singular,Positive,It ' s a great place to go.,Bob is awesome.,Present
884,PastPosSingular,884,2021-Apr-27-09:53:10_6000_1,2021-Apr-30-09:22:17_6000_1,Singular,Positive,She was very patient and patient.,Knowledgable recent.,Past
885,PresPosPlural,885,2021-Apr-30-09:22:17_6000_1,2021-Apr-27-09:53:10_6000_1,Plural,Positive,The best time.,The soups are delicious.,Present
886,PresNegSingular,886,2021-Apr-30-09:22:17_6000_1,2021-Apr-27-09:53:10_6000_1,Singular,Negative,But portions are great.,Do not know how to make it.,Present
887,PresNegSingular,887,2021-Apr-30-09:22:17_6000_1,2021-Apr-27-09:53:10_6000_1,Singular,Negative,Katsu area.,I guess i am sorry.,Present
888,PresPosPlural,888,2021-Apr-30-09:22:17_6000_1,2021-Apr-27-09:53:10_6000_1,Plural,Positive,The best.,Thanks sierra guys.,Present
889,PresPosPlural,889,2021-Apr-30-09:22:17_6000_1,2021-Apr-27-09:53:10_6000_1,Plural,Positive,No stars.,This is my favorite.,Present
890,PastPosSingular,890,2021-Apr-30-09:22:17_6000_1,2021-Apr-27-09:53:10_6000_1,Singular,Positive,Crust came out of wings wings who.,I was very impressed with the service.,Past
891,PresPosSingular,891,2021-Apr-30-09:22:17_6000_1,2021-Apr-27-09:53:10_6000_1,Singular,Positive,It is pretty good.,The fried rice is also good.,Present
892,PastPosPlural,892,2021-Apr-27-09:53:10_6000_1,2021-Apr-30-09:22:17_6000_1,Plural,Positive,We had the best wings in town.,Great for the customer.,Past
893,PresPosPlural,893,2021-Apr-27-09:53:10_6000_1,2021-Apr-30-09:22:17_6000_1,Plural,Positive,The guys are so nice and helpful.,Everything is great.,Present
894,PastPosNeutral,894,2021-Apr-27-09:53:10_6000_1,2021-Apr-30-09:22:17_6000_1,Neutral,Positive,We were very impressed with the service.,Well maintained maintained maintained knowledgeable maintained sorry served needless  informative s meal gets not even finish finish.,Past
895,PresNegSingular,895,2021-Apr-30-09:22:17_6000_1,2021-Apr-27-09:53:10_6000_1,Singular,Negative,Well maintained maintained than enough denny s next next next omelet omelet omelet omelet omelet recent boyfriend boyfriend  nothing.,The food is mediocre at best.,Present
896,PresPosSingular,896,2021-Apr-27-09:53:10_6000_1,2021-Apr-30-09:22:17_6000_1,Singular,Positive,"For a great price , i am sure i am here.",Well maintained maintained served served ; recent  recent recent recent recent recent recent recent recent recent recent recent recent.,Present
897,PresPosSingular,897,2021-Apr-30-09:22:17_6000_1,2021-Apr-27-09:53:10_6000_1,Singular,Positive,Great as well well maintained.,Everything is fresh and delicious.,Present
898,PastPosPlural,898,2021-Apr-30-09:22:17_6000_1,2021-Apr-27-09:53:10_6000_1,Plural,Positive,Everything was packed.,We also had a great time here.,Past
899,PresNegSingular,899,2021-Apr-27-09:53:10_6000_1,2021-Apr-30-09:22:17_6000_1,Singular,Negative,But the food is not good.,Do not waste your.,Present
900,PastPosSingular,900,2021-Apr-27-09:53:10_6000_1,2021-Apr-30-09:22:17_6000_1,Singular,Positive,It was amazing.,12 mins.,Past
901,PastNegPlural,901,2021-Apr-27-09:53:10_6000_1,2021-Apr-30-09:22:17_6000_1,Plural,Negative,"When we left , we were disappointed.","Needless say , onions , onions , onions.",Past
902,PresNegSingular,902,2021-Apr-27-09:53:10_6000_1,2021-Apr-30-09:22:17_6000_1,Singular,Negative,They charge $ 12 for a $ 12.,But there are better than average.,Present
903,PastNegNeutral,903,2021-Apr-30-09:22:17_6000_1,2021-Apr-27-09:53:10_6000_1,Neutral,Negative,Sorry spinatos you.,They had a bad attitude.,Past
904,PastPosNeutral,904,2021-Apr-30-09:22:17_6000_1,2021-Apr-27-09:53:10_6000_1,Neutral,Positive,Was so long.,The kids loved it.,Past
905,PastPosSingular,905,2021-Apr-30-09:22:17_6000_1,2021-Apr-27-09:53:10_6000_1,Singular,Positive,No flavor.,It was delicious.,Past
906,PastPosSingular,906,2021-Apr-30-09:22:17_6000_1,2021-Apr-27-09:53:10_6000_1,Singular,Positive,The price.,The food was good.,Past
907,PresNegSingular,907,2021-Apr-30-09:22:17_6000_1,2021-Apr-27-09:53:10_6000_1,Singular,Negative,This place is.,The staff is very rude.,Present
908,PastPosSingular,908,2021-Apr-27-09:53:10_6000_1,2021-Apr-30-09:22:17_6000_1,Singular,Positive,Everything i ordered was delicious.,She said about the food.,Past
909,PastPosPlural,909,2021-Apr-30-09:22:17_6000_1,2021-Apr-27-09:53:10_6000_1,Plural,Positive,Were polite polite efficient ; mention managers  informative recent recent recent recent recent recent recent recent recent recent recent.,One of the best meals we had in the area.,Past
910,PresNegNeutral,910,2021-Apr-27-09:53:10_6000_1,2021-Apr-30-09:22:17_6000_1,Neutral,Negative,I agree with the chips and salsa.,Well maintained maintained than enough eat outstanding to say the best.,Present
911,PastPosPlural,911,2021-Apr-30-09:22:17_6000_1,2021-Apr-27-09:53:10_6000_1,Plural,Positive,They were doing doing half crap.,The guys were very nice and helpful.,Past
912,PresPosPlural,912,2021-Apr-30-09:22:17_6000_1,2021-Apr-27-09:53:10_6000_1,Plural,Positive,Knowledgable recommend you are closed.,"As far as airports , they are concerned.",Present
913,PresNegPlural,913,2021-Apr-27-09:53:10_6000_1,2021-Apr-30-09:22:17_6000_1,Plural,Negative,They are not even better.,But portions are closed.,Present
914,PastPosSingular,914,2021-Apr-30-09:22:17_6000_1,2021-Apr-27-09:53:10_6000_1,Singular,Positive,It tasted not worth it.,Everything was fresh and delicious.,Past
915,PastPosSingular,915,2021-Apr-27-09:53:10_6000_1,2021-Apr-30-09:22:17_6000_1,Singular,Positive,I got a great deal with the pedicure.,Recommend the first time i am.,Past
916,PastNegNeutral,916,2021-Apr-27-09:53:10_6000_1,2021-Apr-30-09:22:17_6000_1,Neutral,Negative,My expectations were not good.,Were doing half of the food.,Past
917,PresPosSingular,917,2021-Apr-30-09:22:17_6000_1,2021-Apr-27-09:53:10_6000_1,Singular,Positive,It ' s great.,"Love it , and i love it.",Present
918,PresNegSingular,918,2021-Apr-30-09:22:17_6000_1,2021-Apr-27-09:53:10_6000_1,Singular,Negative,In town.,But i am sorry.,Present
919,PresNegSingular,919,2021-Apr-30-09:22:17_6000_1,2021-Apr-27-09:53:10_6000_1,Singular,Negative,Knowledgable kidding recent working.,"But i am sorry , i am sorry.",Present
920,PastNegNeutral,920,2021-Apr-27-09:53:10_6000_1,2021-Apr-30-09:22:17_6000_1,Neutral,Negative,My friends got sick with me.,There was not worth it.,Past
921,PastPosPlural,921,2021-Apr-27-09:53:10_6000_1,2021-Apr-30-09:22:17_6000_1,Plural,Positive,We really enjoyed our experience here.,Informative atmosphere and informative s meal.,Past
922,PastPosSingular,922,2021-Apr-27-09:53:10_6000_1,2021-Apr-30-09:22:17_6000_1,Singular,Positive,The best part was the food was good.,Fish sandwich was packed.,Past
923,PresPosNeutral,923,2021-Apr-27-09:53:10_6000_1,2021-Apr-30-09:22:17_6000_1,Neutral,Positive,The best part is the food is great.,But it ' s not worth it.,Present
924,PresNegSingular,924,2021-Apr-30-09:22:17_6000_1,2021-Apr-27-09:53:10_6000_1,Singular,Negative,Even though.,The food is not good.,Present
925,PastPosNeutral,925,2021-Apr-30-09:22:17_6000_1,2021-Apr-27-09:53:10_6000_1,Neutral,Positive,But maybe not worth it.,The other reviews were very good.,Past
926,PresPosPlural,926,2021-Apr-30-09:22:17_6000_1,2021-Apr-27-09:53:10_6000_1,Plural,Positive,I have ever had.,We absolutely love this place.,Present
927,PastNegPlural,927,2021-Apr-27-09:53:10_6000_1,2021-Apr-30-09:22:17_6000_1,Plural,Negative,Tables were not clean.,We were really.,Past
928,PresPosPlural,928,2021-Apr-30-09:22:17_6000_1,2021-Apr-27-09:53:10_6000_1,Plural,Positive,A must.,It ' s all good.,Present
929,PastNegSingular,929,2021-Apr-30-09:22:17_6000_1,2021-Apr-27-09:53:10_6000_1,Singular,Negative,13 minute tour guide knowledgeable.,There was no one was in the area.,Past
930,PastPosSingular,930,2021-Apr-30-09:22:17_6000_1,2021-Apr-27-09:53:10_6000_1,Singular,Positive,Oh and the food.,Everything was very good.,Past
931,PresPosNeutral,931,2021-Apr-27-09:53:10_6000_1,2021-Apr-30-09:22:17_6000_1,Neutral,Positive,That ' s a great place to go.,But it is prepared.,Present
932,PastPosNeutral,932,2021-Apr-30-09:22:17_6000_1,2021-Apr-27-09:53:10_6000_1,Neutral,Positive,Informative incredibly informative s meal meal gets extremely knowledgeable knowledgeable j ' s s meal meal gets not even finish.,Got ta try the food and they were great.,Past
933,PastNegSingular,933,2021-Apr-30-09:22:17_6000_1,2021-Apr-27-09:53:10_6000_1,Singular,Negative,There almost 12.,The waiter was very rude.,Past
934,PastPosSingular,934,2021-Apr-27-09:53:10_6000_1,2021-Apr-30-09:22:17_6000_1,Singular,Positive,I had a great time here.,I had a great.,Past
935,PastPosSingular,935,2021-Apr-30-09:22:17_6000_1,2021-Apr-27-09:53:10_6000_1,Singular,Positive,Knowledgable recommend the past.,I really enjoyed the experience here.,Past
936,PastNegNeutral,936,2021-Apr-27-09:53:10_6000_1,2021-Apr-30-09:22:17_6000_1,Neutral,Negative,They were very slow.,First time.,Past
937,PresNegPlural,937,2021-Apr-30-09:22:17_6000_1,2021-Apr-27-09:53:10_6000_1,Plural,Negative,But portions apparently apparently recent recent recent recent recent recent recent recent recent recent recent recent recent recent recent recent.,The bathrooms are disgusting.,Present
938,PresPosNeutral,938,2021-Apr-30-09:22:17_6000_1,2021-Apr-27-09:53:10_6000_1,Neutral,Positive,No new owners.,This is always the best.,Present
939,PastPosNeutral,939,2021-Apr-30-09:22:17_6000_1,2021-Apr-27-09:53:10_6000_1,Neutral,Positive,Expensive served knowledgable recent recent recent recent recent recent recent recent recent recent recent recent recent recent recent recent recent.,The chips were fresh and salsa were good.,Past
940,PresNegSingular,940,2021-Apr-27-09:53:10_6000_1,2021-Apr-30-09:22:17_6000_1,Singular,Negative,Do not waste your time.,But it is not.,Present
941,PastNegPlural,941,2021-Apr-30-09:22:17_6000_1,2021-Apr-27-09:53:10_6000_1,Plural,Negative,They gave mention us minutes to help save mention believe  he completely kidding whole wife  oh every time.,The nurses said they were not helpful.,Past
942,PastPosPlural,942,2021-Apr-27-09:53:10_6000_1,2021-Apr-30-09:22:17_6000_1,Plural,Positive,The servers were great.,The restaurant.,Past
943,PastPosPlural,943,2021-Apr-30-09:22:17_6000_1,2021-Apr-27-09:53:10_6000_1,Plural,Positive,It was amazing.,And we had a great time.,Past
944,PastNegSingular,944,2021-Apr-30-09:22:17_6000_1,2021-Apr-27-09:53:10_6000_1,Singular,Negative,He was not good.,This place was horrible.,Past
945,PastPosPlural,945,2021-Apr-30-09:22:17_6000_1,2021-Apr-27-09:53:10_6000_1,Plural,Positive,Our food came out of those times.,We were very pleased with our meals.,Past
946,PastNegPlural,946,2021-Apr-27-09:53:10_6000_1,2021-Apr-30-09:22:17_6000_1,Plural,Negative,If we were there were not even better.,Were flavorful packed decent company packed local  sorry served sorry served leaves served  informative patient recent recent working.,Past
947,PastNegSingular,947,2021-Apr-27-09:53:10_6000_1,2021-Apr-30-09:22:17_6000_1,Singular,Negative,I got sick and i was disappointed.,"Tonight informative , onions , onions , onions.",Past
948,PastPosPlural,948,2021-Apr-30-09:22:17_6000_1,2021-Apr-27-09:53:10_6000_1,Plural,Positive,They were completely doing half.,They were very friendly and helpful.,Past
949,PastNegNeutral,949,2021-Apr-30-09:22:17_6000_1,2021-Apr-27-09:53:10_6000_1,Neutral,Negative,Potatoes served with the menu were great.,They took forever to get my car.,Past
950,PresNegNeutral,950,2021-Apr-30-09:22:17_6000_1,2021-Apr-27-09:53:10_6000_1,Neutral,Negative,But portions are better than average ).,Do not know what you want to go.,Present
951,PastNegPlural,951,2021-Apr-30-09:22:17_6000_1,2021-Apr-27-09:53:10_6000_1,Plural,Negative,Needless the first time i am.,We were not happy with this place.,Past
952,PastNegPlural,952,2021-Apr-30-09:22:17_6000_1,2021-Apr-27-09:53:10_6000_1,Plural,Negative,Sorry sorry served brown rice rice back.,The chips and salsa were very bland.,Past
953,PresPosPlural,953,2021-Apr-27-09:53:10_6000_1,2021-Apr-30-09:22:17_6000_1,Plural,Positive,The best thing about the menu is the best.,Well maintained maintained maintained than average average best denny denny s next next omelet week omelet person takes recent desk.,Present
954,PresNegPlural,954,2021-Apr-30-09:22:17_6000_1,2021-Apr-27-09:53:10_6000_1,Plural,Negative,They are closed packed.,Rooms are old and dirty.,Present
955,PresPosSingular,955,2021-Apr-27-09:53:10_6000_1,2021-Apr-30-09:22:17_6000_1,Singular,Positive,My food is always good.,The homemade.,Present
956,PastPosSingular,956,2021-Apr-30-09:22:17_6000_1,2021-Apr-27-09:53:10_6000_1,Singular,Positive,My dog.,Loved the food.,Past
957,PastPosSingular,957,2021-Apr-27-09:53:10_6000_1,2021-Apr-30-09:22:17_6000_1,Singular,Positive,This place was packed with a lot of fun.,Thought onions onions  sorry sorry served  sorry served  informative patient leaves lot were great job.,Past
958,PresPosNeutral,958,2021-Apr-27-09:53:10_6000_1,2021-Apr-30-09:22:17_6000_1,Neutral,Positive,"For starters , the food is always good.","Well maintained maintained served served simple  informative patient , it ' s.",Present
959,PastNegSingular,959,2021-Apr-27-09:53:10_6000_1,2021-Apr-30-09:22:17_6000_1,Singular,Negative,And the manager was very rude.,For lunch 11 minute tour.,Past
960,PresPosNeutral,960,2021-Apr-30-09:22:17_6000_1,2021-Apr-27-09:53:10_6000_1,Neutral,Positive,It gets not worth it.,The guys have always been great.,Present
961,PastPosPlural,961,2021-Apr-27-09:53:10_6000_1,2021-Apr-30-09:22:17_6000_1,Plural,Positive,There were a few blocks in the area.,Knowledgable day and informative.,Past
962,PastPosSingular,962,2021-Apr-27-09:53:10_6000_1,2021-Apr-30-09:22:17_6000_1,Singular,Positive,The food and service were great.,She said about the.,Past
963,PastNegPlural,963,2021-Apr-27-09:53:10_6000_1,2021-Apr-30-09:22:17_6000_1,Plural,Negative,We were not impressed with the food.,Recommend recommend brought sure desk desk desk desk.,Past
964,PastPosNeutral,964,2021-Apr-27-09:53:10_6000_1,2021-Apr-30-09:22:17_6000_1,Neutral,Positive,They also did a great job.,I wanted to say.,Past
965,PresNegPlural,965,2021-Apr-27-09:53:10_6000_1,2021-Apr-30-09:22:17_6000_1,Plural,Negative,The fries are disgusting.,There are closed packed.,Present
966,PresNegSingular,966,2021-Apr-27-09:53:10_6000_1,2021-Apr-30-09:22:17_6000_1,Singular,Negative,It is disgusting.,No one of.,Present
967,PastPosSingular,967,2021-Apr-27-09:53:10_6000_1,2021-Apr-30-09:22:17_6000_1,Singular,Positive,I had a great time.,Thought it.,Past
968,PresNegSingular,968,2021-Apr-30-09:22:17_6000_1,2021-Apr-27-09:53:10_6000_1,Singular,Negative,Well maintained maintained sorry served  sorry served served  informative patient recent recent recent recent recent recent recent recent.,This place is a complete joke.,Present
